attacktype,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bombing/Explosion,333,238,186,149,284,370,419,635,644,1057,997,1082,1125,1246,1775,1482,1506,1476,1650,1797,1731,1988,1738,1153,791,1217,1123,504,652,904,802,721,678,655,1064,1502,1865,2642,2565,2507,2587,5080,6669,8759,7615
Armed Assault,61,44,63,62,46,81,124,255,241,447,574,697,665,852,823,659,592,798,921,1120,876,1271,1327,818,740,638,826,264,368,492,581,366,312,259,510,737,848,1093,1118,1114,1391,2081,2959,4087,3353
Hostage Taking (Kidnapping),38,20,16,43,37,27,45,67,97,146,140,122,105,124,77,116,96,99,109,130,168,222,142,191,141,155,299,43,113,124,145,78,46,77,120,201,223,392,279,390,361,352,628,1396,1175
Assassination,22,70,193,164,158,181,204,146,263,526,618,405,362,360,443,311,371,495,821,980,877,730,1111,771,729,478,420,24,61,103,127,73,86,104,225,140,140,219,227,360,342,458,845,922,917
Unknown,6,3,1,1,1,3,5,14,52,196,98,74,79,110,157,134,117,164,39,17,13,64,188,204,232,291,348,23,39,43,45,25,27,26,38,39,30,106,137,116,113,182,253,782,855
Facility/Infrastructure Attack,174,88,19,36,42,64,113,182,181,197,170,150,148,142,162,138,141,120,151,240,190,353,473,189,297,216,140,57,114,112,148,49,88,33,46,107,116,285,349,293,242,293,555,764,682
Unarmed Assault,3,0,0,3,4,0,3,0,5,7,2,3,3,2,7,5,6,4,5,7,7,14,48,61,108,23,25,15,37,26,41,10,20,4,6,15,6,33,19,21,20,29,38,37,96
Hostage Taking (Barricade Incident),3,1,4,7,5,13,6,13,43,76,50,34,50,26,29,55,27,26,16,18,17,16,22,34,13,15,3,0,6,2,4,4,2,2,0,7,6,2,4,7,2,18,26,45,76
Hijacking,11,6,12,8,3,1,4,7,0,9,14,18,8,8,21,15,4,2,9,13,8,25,24,37,30,23,16,3,6,7,15,6,3,1,2,3,7,15,23,13,9,5,17,48,37
