year,attacktype,count
1970,Bombing/Explosion,333
1970,Armed Assault,61
1970,Hostage Taking (Kidnapping),38
1970,Assassination,22
1970,Unknown,6
1970,Facility/Infrastructure Attack,174
1970,Unarmed Assault,3
1970,Hostage Taking (Barricade Incident),3
1970,Hijacking,11
1971,Bombing/Explosion,238
1971,Armed Assault,44
1971,Hostage Taking (Kidnapping),20
1971,Assassination,70
1971,Unknown,3
1971,Facility/Infrastructure Attack,88
1971,Unarmed Assault,0
1971,Hostage Taking (Barricade Incident),1
1971,Hijacking,6
1972,Bombing/Explosion,186
1972,Armed Assault,63
1972,Hostage Taking (Kidnapping),16
1972,Assassination,193
1972,Unknown,1
1972,Facility/Infrastructure Attack,19
1972,Unarmed Assault,0
1972,Hostage Taking (Barricade Incident),4
1972,Hijacking,12
1973,Bombing/Explosion,149
1973,Armed Assault,62
1973,Hostage Taking (Kidnapping),43
1973,Assassination,164
1973,Unknown,1
1973,Facility/Infrastructure Attack,36
1973,Unarmed Assault,3
1973,Hostage Taking (Barricade Incident),7
1973,Hijacking,8
1974,Bombing/Explosion,284
1974,Armed Assault,46
1974,Hostage Taking (Kidnapping),37
1974,Assassination,158
1974,Unknown,1
1974,Facility/Infrastructure Attack,42
1974,Unarmed Assault,4
1974,Hostage Taking (Barricade Incident),5
1974,Hijacking,3
1975,Bombing/Explosion,370
1975,Armed Assault,81
1975,Hostage Taking (Kidnapping),27
1975,Assassination,181
1975,Unknown,3
1975,Facility/Infrastructure Attack,64
1975,Unarmed Assault,0
1975,Hostage Taking (Barricade Incident),13
1975,Hijacking,1
1976,Bombing/Explosion,419
1976,Armed Assault,124
1976,Hostage Taking (Kidnapping),45
1976,Assassination,204
1976,Unknown,5
1976,Facility/Infrastructure Attack,113
1976,Unarmed Assault,3
1976,Hostage Taking (Barricade Incident),6
1976,Hijacking,4
1977,Bombing/Explosion,635
1977,Armed Assault,255
1977,Hostage Taking (Kidnapping),67
1977,Assassination,146
1977,Unknown,14
1977,Facility/Infrastructure Attack,182
1977,Unarmed Assault,0
1977,Hostage Taking (Barricade Incident),13
1977,Hijacking,7
1978,Bombing/Explosion,644
1978,Armed Assault,241
1978,Hostage Taking (Kidnapping),97
1978,Assassination,263
1978,Unknown,52
1978,Facility/Infrastructure Attack,181
1978,Unarmed Assault,5
1978,Hostage Taking (Barricade Incident),43
1978,Hijacking,0
1979,Bombing/Explosion,1057
1979,Armed Assault,447
1979,Hostage Taking (Kidnapping),146
1979,Assassination,526
1979,Unknown,196
1979,Facility/Infrastructure Attack,197
1979,Unarmed Assault,7
1979,Hostage Taking (Barricade Incident),76
1979,Hijacking,9
1980,Bombing/Explosion,997
1980,Armed Assault,574
1980,Hostage Taking (Kidnapping),140
1980,Assassination,618
1980,Unknown,98
1980,Facility/Infrastructure Attack,170
1980,Unarmed Assault,2
1980,Hostage Taking (Barricade Incident),50
1980,Hijacking,14
1981,Bombing/Explosion,1082
1981,Armed Assault,697
1981,Hostage Taking (Kidnapping),122
1981,Assassination,405
1981,Unknown,74
1981,Facility/Infrastructure Attack,150
1981,Unarmed Assault,3
1981,Hostage Taking (Barricade Incident),34
1981,Hijacking,18
1982,Bombing/Explosion,1125
1982,Armed Assault,665
1982,Hostage Taking (Kidnapping),105
1982,Assassination,362
1982,Unknown,79
1982,Facility/Infrastructure Attack,148
1982,Unarmed Assault,3
1982,Hostage Taking (Barricade Incident),50
