targettype,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Private Citizens & Property,57,23,141,127,130,135,157,223,143,386,430,400,459,483,606,384,489,511,620,772,757,687,951,753,788,665,874,280,381,538,674,397,259,233,444,851,964,1594,1664,1474,1432,1715,2497,4279,4050
Military,86,103,145,91,60,48,93,82,120,225,273,496,424,794,666,614,463,496,592,665,452,720,556,364,233,199,161,92,158,211,128,178,215,179,290,229,357,260,129,186,344,1790,2318,3716,2923
Police,81,38,26,29,41,72,84,108,228,311,261,261,236,298,305,309,303,337,477,540,533,551,775,382,394,350,306,98,110,162,260,118,143,176,374,471,717,473,436,560,727,1706,2361,2612,2101
Government (General),81,46,16,22,36,64,104,178,243,489,379,293,242,264,310,319,362,513,621,663,514,526,615,475,389,464,510,122,200,274,252,178,182,164,329,373,335,717,767,916,870,838,1285,1566,1145
Business,136,131,76,83,178,204,216,409,422,598,586,398,383,389,512,417,522,502,502,637,525,918,835,545,403,423,437,127,184,206,198,154,146,123,158,247,240,497,534,528,512,554,878,1095,1114
Unknown,4,0,0,0,2,2,4,7,9,84,28,17,53,15,23,20,21,9,3,8,3,2,30,36,100,172,172,4,12,9,10,21,15,18,8,23,18,68,51,22,80,320,439,925,938
Religious Figures/Institutions,13,4,0,2,7,8,8,10,16,41,49,31,36,42,63,30,42,46,55,65,106,107,131,94,76,86,101,42,44,99,46,43,31,47,86,94,88,111,146,125,136,249,410,429,396
Transportation,2,4,3,2,7,28,17,41,42,97,114,134,126,143,246,158,161,201,214,226,250,212,302,160,237,225,182,61,58,81,95,93,63,51,71,113,142,221,233,219,217,198,238,347,384
Terrorists/Non-State Militia,4,1,12,19,15,29,13,9,18,18,26,25,28,15,23,16,20,37,28,36,31,51,65,57,40,53,49,6,26,10,9,6,8,4,18,20,31,150,88,128,147,186,284,363,318
Educational Institution,62,39,6,5,3,6,15,31,36,65,117,58,51,39,51,46,44,37,51,106,78,51,87,78,50,33,75,12,40,20,47,28,25,24,58,86,120,162,218,263,219,322,352,345,286
Utilities,16,12,7,5,5,19,10,43,34,25,39,163,204,150,360,359,220,256,289,260,378,389,158,65,52,88,53,17,25,22,24,18,47,32,50,72,53,116,137,83,160,159,240,333,257
Violent Political Party,1,2,1,0,0,3,13,10,14,11,20,7,8,3,18,3,3,15,62,70,58,75,82,96,40,57,34,4,12,10,10,2,12,10,9,12,19,38,44,46,24,89,195,138,257
Journalists & Media,9,12,5,3,9,16,27,54,57,87,119,59,60,61,66,56,36,88,69,89,54,76,96,78,80,59,72,8,33,43,44,24,10,25,24,41,43,62,41,53,37,100,176,228,169
Government (Diplomatic),54,35,28,57,58,70,108,61,60,90,129,119,108,85,94,63,78,46,58,69,58,153,192,117,59,63,55,22,51,54,29,25,45,33,39,42,40,94,58,75,45,93,112,157,152
Other,1,0,0,3,0,2,0,1,1,0,1,0,0,0,2,1,1,7,0,2,4,2,4,6,15,15,17,5,4,8,4,1,3,5,3,5,15,21,14,10,3,21,35,77,145
NGO,8,2,1,2,3,3,2,0,5,9,6,4,4,8,9,9,5,10,16,13,8,24,24,31,30,24,28,4,16,15,18,8,18,19,10,23,21,61,50,36,38,43,55,82,59
Telecommunication,7,3,0,0,4,3,1,12,18,30,6,32,54,21,26,14,15,21,16,29,22,18,39,11,8,11,3,1,5,8,11,7,15,1,11,17,9,69,56,55,46,51,56,48,46
Airports & Aircraft,25,10,22,20,20,19,43,30,36,68,65,67,40,47,39,52,34,19,23,31,22,63,64,36,27,21,25,7,13,15,23,18,8,6,6,5,13,25,23,21,16,21,22,60,33
Food or Water Supply,2,0,0,0,0,2,0,1,11,1,4,9,12,6,12,18,17,5,5,10,14,8,9,4,2,5,1,3,4,2,3,1,3,0,5,9,1,16,7,11,10,18,6,21,16
Maritime,0,2,1,3,2,3,5,1,2,9,0,4,2,3,31,12,5,10,10,14,3,14,22,20,6,10,7,2,7,6,7,3,2,5,4,3,5,17,16,6,2,2,11,13,7
Abortion Related,0,0,0,0,0,0,0,4,6,1,3,0,7,3,27,14,13,11,7,8,8,12,18,18,25,11,17,9,9,6,2,0,2,1,3,0,3,2,1,0,0,4,2,0,5
Tourists,2,3,4,0,0,4,3,4,5,16,8,8,8,1,5,1,6,7,3,9,9,24,18,32,27,22,21,7,4,14,14,9,10,5,11,15,7,13,8,4,2,19,18,6,5
